Temperature	300 K	315 K	330 K	345 K	360 K	400 K	415 K	430 K	445 K
Time	AI	AI	AI	AI	AI	AI	AI	AI	AI
142.7212E+0	51.9169E-9	56.5467E-9	61.5354E-9	66.9070E-9	62.8460E-9	55.8149E-9	54.0802E-9	61.9280E-9	64.8431E-9
143.7538E+0	51.9788E-9	56.5944E-9	61.6886E-9	66.3206E-9	62.2001E-9	55.6345E-9	53.5026E-9	61.8760E-9	64.7606E-9
144.7863E+0	51.9564E-9	55.8288E-9	61.6880E-9	66.0562E-9	61.7234E-9	55.1354E-9	53.2411E-9	61.5819E-9	64.6883E-9
145.8187E+0	51.9979E-9	55.7702E-9	60.8645E-9	65.6480E-9	61.6865E-9	54.9805E-9	52.7927E-9	61.6995E-9	64.4912E-9
146.8512E+0	51.5960E-9	55.9139E-9	60.8492E-9	65.7445E-9	61.3524E-9	54.5426E-9	52.3816E-9	61.5598E-9	64.1680E-9
147.8837E+0	51.7811E-9	56.0384E-9	60.8682E-9	65.0960E-9	60.9714E-9	54.3396E-9	52.2254E-9	61.6061E-9	64.3887E-9
148.9162E+0	51.4764E-9	55.7783E-9	60.6882E-9	65.2450E-9	60.8944E-9	53.9016E-9	51.7876E-9	61.3694E-9	64.3717E-9
149.9487E+0	51.3686E-9	56.0868E-9	60.7478E-9	65.0382E-9	60.2729E-9	53.5518E-9	51.4263E-9	61.2429E-9	64.5549E-9
150.9813E+0	51.0939E-9	55.2812E-9	60.7127E-9	64.7283E-9	59.7704E-9	53.0835E-9	51.2300E-9	61.4190E-9	64.0275E-9
152.0138E+0	51.1955E-9	55.4809E-9	60.7456E-9	64.4983E-9	59.6023E-9	53.0488E-9	50.8894E-9	60.9054E-9	63.6930E-9
153.0462E+0	50.7819E-9	55.2719E-9	60.4191E-9	64.3642E-9	58.9377E-9	52.7243E-9	50.6882E-9	60.9625E-9	63.9286E-9
154.0787E+0	50.6074E-9	54.8518E-9	60.1536E-9	64.0472E-9	58.9276E-9	52.6298E-9	50.2500E-9	60.4717E-9	63.4157E-9
155.1112E+0	50.4701E-9	54.7851E-9	59.6253E-9	64.1601E-9	58.8114E-9	52.2417E-9	49.9460E-9	60.4517E-9	63.6380E-9
156.1438E+0	50.5843E-9	54.5703E-9	59.6192E-9	63.6750E-9	58.4837E-9	52.0222E-9	49.4935E-9	60.4147E-9	63.5032E-9
157.1763E+0	50.4828E-9	54.5582E-9	59.5171E-9	63.8996E-9	57.9540E-9	51.5719E-9	49.3094E-9	60.4777E-9	63.5093E-9
158.2088E+0	50.1895E-9	54.6120E-9	58.8646E-9	63.4857E-9	57.8449E-9	51.0931E-9	49.1747E-9	60.3140E-9	63.7293E-9
159.2413E+0	50.2224E-9	54.4664E-9	58.8966E-9	63.3900E-9	57.9410E-9	50.7961E-9	48.9739E-9	60.2451E-9	63.2302E-9
160.2738E+0	49.5895E-9	54.1173E-9	58.8553E-9	63.0690E-9	57.2381E-9	50.3054E-9	48.6998E-9	60.1652E-9	62.9826E-9
161.3063E+0	49.7716E-9	54.0036E-9	58.9208E-9	62.9900E-9	57.5444E-9	50.0415E-9	48.3411E-9	59.9052E-9	62.8106E-9
162.3388E+0	49.6095E-9	53.9759E-9	58.9211E-9	62.9968E-9	56.8131E-9	49.5764E-9	47.9851E-9	59.7641E-9	62.8372E-9
163.3713E+0	49.2101E-9	53.7132E-9	58.8058E-9	62.7633E-9	56.7540E-9	49.3449E-9	47.3720E-9	59.7958E-9	62.7954E-9
164.4038E+0	49.6586E-9	53.6556E-9	58.5418E-9	62.3602E-9	56.4816E-9	49.4352E-9	47.2920E-9	59.6666E-9	62.9158E-9
165.4363E+0	49.5803E-9	53.2849E-9	58.3151E-9	62.3366E-9	56.3156E-9	48.9222E-9	46.8380E-9	59.3833E-9	62.3932E-9
166.4688E+0	49.2624E-9	53.3002E-9	58.2816E-9	62.0007E-9	55.9773E-9	48.6326E-9	46.7727E-9	59.4269E-9	62.8022E-9
